"Web Site|About Tom|Issues|Serving You|Media|ContactDear Neighbor,Earlier this year, we encouraged Secretary Perez to support the Ready to Work Partnership Grant, which will help transform workforce development in New York State andhelp get folks back to work , with programs that will help expand our workforce and care for our neighbors who are seeking long-term employment.",positive,0.873459
Recently the U.S.,neutral,None
"Department of Labor announced $169,771,960 in grants to expedite the employment of Americans struggling with long-term unemployment.",negative,-0.706301
"The grants are part of the Ready to Work Partnership initiative to support and scale innovative collaborations between employers, nonprofit organizations and federal job training programs to help connect ready-to-work Americans with ready-to-be-filled jobs.",positive,0.823438
SAVING TAXPAYERS THROUGH EXPANDING USE OF LOCAL BANK QUALIFIED BONDSSpeaking with students at Jamestown High School.,neutral,None
"WevisitedJamestown High School to discuss his Municipal Bond Market Support Act, which would expand the availability of bank-qualified bonds, a cost-effective method of financing widely used by local governments and financing authorities.",positive,0.555094
Bank qualified bonds save tax dollars.,neutral,None
"Using local bonds also keeps the control, financing and benefits of capital improvements right in the local economy.",positive,0.869297
These types of bonds can be used for a variety of improvements to facilities like the one in the Jamestown School District.,positive,0.384716
TALKING HEALTH INSURANCE TAX WITH LOCAL SMALL BUSINESS OWNERSSpeaking with small business owners in Corning.,positive,0.774636
"Yesterday we met with small business owners for a roundtable discussion about the health insurance tax, or HIT, and its impact on New York small businesses and their employees.",positive,0.862824
The HIT is a discriminatory tax that will weaken a vital sector of our economy.,negative,-0.733903
Small businesses are the ones which will lead the way in creating jobs and the HIT will raise the cost of health insurance on two million small businesses and in turn tens of millions of employees.,positive,0.757081
I've been concerned about the financial strain it will impose for some time and it's time we take action to ensure we aren't inflicting an additional hurdle on small business owners.,neutral,None
LIHEAP FUNDS FOR WESTERN NEW YORKThe Administration for Children and Families has announced the release of $3.05 billion in LIHEAP block grants to states for the first quarter of FY2015.,neutral,None
The funding was provided through the Continuing Resolution that funds the government until December 11th.,neutral,None
We advocated for a return to the original intent of the energy assistance program with ourLow Income Heating Improvement Actdesigned to give financial assistance to states that need it most.,positive,0.681133
The winter months bring rising energy costs that low income families and individuals often struggle to meet.,negative,-0.504828
"Thisboost in heating assistanceensures that New York families, in most need of help heating their homes, are treated fairly during the winter months.",positive,0.417477
P.S &ndash;We've gotoffice hours !,positive,0.573254
"Best,TomOFFICE LOCATIONSWashington, DC1504 Longworth HOBWashington, DC 20515(202) 225-3161Corning89 W. Market StCorning, NY 14830(607) 654-7566OleanOne Bluebird SquareOlean, NY 14760(716)379-8434Geneva433 Exchange StGeneva, NY 14456(315)759-5229Jamestown2 East 2nd St Suite 300Jamestown, NY 14701(716) 708-6369Ithaca401 E. State St.",neutral,None
"Suite 304-1Ithaca, NY 14850(607) 222-2027Privacy PolicyUnsubscribe",neutral,None
